CountyFIPS,Density,ruralUrban
17121,65.1,Rural
17123,29.6,Rural
17125,24.8,Rural
17127,58.0,Rural
17129,38.8,Rural
17131,27.6,Rural
17133,90.3,Rural
17135,40.3,Rural
17137,59.0,Rural
17139,43.3,Rural
17141,66.9,Rural
17143,288.5,Rural
17145,47.3,Rural
17147,37.3,Rural
17149,18.7,Rural
17151,11.4,Rural
17153,26.7,Rural
17155,35.9,Rural
17157,55.2,Rural
17159,43.2,Rural
17161,331.8,Rural
17163,394.2,Rural
17165,61.9,Rural
17167,223.9,Rural
17169,15.5,Rural
17171,19.7,Rural
17173,28.5,Rural
17175,18.6,Rural
17177,78.8,Rural
17179,203.1,Rural
17181,40.3,Rural
17183,84.2,Rural
17185,51.6,Rural
17187,31.0,Rural
17189,24.7,Rural
17191,22.7,Rural
17193,27.4,Rural
17195,80.6,Rural
17197,826.7,Urban
17199,158.7,Rural
17201,550.2,Urban
17203,72.9,Rural
18001,105.7,Rural
18003,578.6,Urban
18005,205.9,Rural
18007,21.5,Rural
18009,71.2,Rural
18011,161.4,Rural
18013,48.6,Rural
18015,54.5,Rural
18017,91.5,Rural
18019,318.7,Rural
18021,73.4,Rural
18023,80.1,Rural
18025,34.6,Rural
18027,77.6,Rural
18029,162.5,Rural
18031,71.4,Rural
18033,120.2,Rural
18035,291.5,Rural
18037,100.0,Rural
18039,446.0,Rural
18041,107.5,Rural
18043,532.8,Urban
18045,41.3,Rural
18047,59.2,Rural
18049,54.3,Rural
18051,69.0,Rural
18053,158.9,Rural
18055,58.8,Rural
18057,863.4,Urban
18059,257.1,Rural
18061,84.1,Rural
18063,421.4,Rural
18065,122.8,Rural
18067,282.4,Rural
18069,95.6,Rural
18071,86.9,Rural
18073,60.1,Rural
18075,53.2,Rural
18077,89.9,Rural
18079,73.8,Rural
18081,496.3,Rural
18083,71.2,Rural
18085,149.7,Rural
18087,104.3,Rural
18089,974.6,Urban
18091,184.0,Rural
18093,101.2,Rural
18095,287.5,Rural
18097,2431.7,Urban
18099,104.2,Rural
18101,30.6,Rural
18103,94.9,Rural
18105,376.2,Rural
18107,76.1,Rural
18109,174.9,Rural
18111,34.9,Rural
18113,116.5,Rural
18115,68.1,Rural
18117,49.4,Rural
18119,54.1,Rural
18121,38.1,Rural
18123,50.5,Rural
18125,37.2,Rural
18127,409.0,Rural
18129,62.1,Rural
18131,28.4,Rural
18133,78.7,Rural
18135,54.5,Rural
18137,63.6,Rural
18139,40.7,Rural
18141,594.1,Urban
18143,125.9,Rural
18145,109.1,Rural
18147,51.1,Rural
18149,74.5,Rural
18151,112.3,Rural
18153,46.3,Rural
18155,48.8,Rural
18157,391.0,Rural
18159,58.2,Rural
18161,43.8,Rural
18163,778.3,Urban
18165,60.4,Rural
18167,265.4,Rural
18169,75.3,Rural
18171,22.7,Rural
18173,164.3,Rural
18175,54.7,Rural
18177,164.1,Rural
18179,77.1,Rural
18181,47.7,Rural
18183,101.4,Rural
19001,12.6,Rural
19003,8.5,Rural
19005,21.4,Rural
19007,25.0,Rural
19009,12.4,Rural
19011,35.9,Rural
19013,232.1,Rural
19015,46.0,Rural
19017,57.7,Rural
19019,37.1,Rural
19021,34.0,Rural
19023,24.9,Rural
19025,17.0,Rural
19027,35.4,Rural
19029,22.7,Rural
19031,32.3,Rural
19033,74.7,Rural
19035,19.5,Rural
19037,23.6,Rural
19039,21.8,Rural
19041,28.2,Rural
19043,22.6,Rural
19045,66.8,Rural
19047,23.5,Rural
19049,160.3,Rural
19051,17.9,Rural
19053,14.8,Rural
19055,29.4,Rural
19057,93.6,Rural
19059,45.5,Rural
19061,160.1,Rural
19063,23.2,Rural
19065,26.9,Rural
19067,31.2,Rural
19069,17.3,Rural
19071,13.6,Rural
19073,15.6,Rural
19075,24.4,Rural
19077,18.1,Rural
19079,25.6,Rural
19081,18.6,Rural
19083,29.5,Rural
19085,20.2,Rural
19087,46.0,Rural
19089,19.4,Rural
19091,22.0,Rural
19093,15.9,Rural
19095,27.6,Rural
19097,30.6,Rural
19099,51.0,Rural
19101,42.2,Rural
19103,246.7,Rural
19105,36.0,Rural
19107,17.7,Rural
19109,15.2,Rural
19111,65.1,Rural
19113,317.2,Rural
19115,27.4,Rural
19117,20.0,Rural
19119,20.0,Rural
19121,29.3,Rural
19123,38.7,Rural
19125,60.2,Rural
19127,68.8,Rural
19129,34.6,Rural
19131,22.6,Rural
19133,12.4,Rural
19135,17.8,Rural
19137,23.4,Rural
19139,97.5,Rural
19141,24.1,Rural
19143,14.9,Rural
19145,28.3,Rural
19147,15.7,Rural
19149,29.3,Rural
19151,11.4,Rural
19153,857.8,Urban
19155,98.2,Rural
19157,31.8,Rural
19159,9.2,Rural
19161,16.9,Rural
19163,378.3,Rural
19165,19.4,Rural
19167,45.4,Rural
19169,170.3,Rural
19171,23.4,Rural
19173,11.5,Rural
19175,28.9,Rural
19177,14.5,Rural
19179,81.0,Rural
19181,90.9,Rural
19183,38.7,Rural
19185,12.3,Rural
19187,50.0,Rural
19189,25.8,Rural
19191,29.0,Rural
19193,118.3,Rural
19195,18.5,Rural
19197,21.6,Rural
20001,24.7,Rural
20003,13.6,Rural
20005,37.3,Rural
20007,3.9,Rural
20009,28.7,Rural
20011,22.9,Rural
20013,16.8,Rural
20015,46.9,Rural
20017,3.4,Rural
20019,5.1,Rural
20021,33.9,Rural
20023,2.6,Rural
20025,2.1,Rural
20027,12.4,Rural
20029,12.3,Rural
20031,13.0,Rural
20033,2.2,Rural
20035,31.0,Rural
20037,65.9,Rural
20039,3.2,Rural
20041,21.8,Rural
20043,19.4,Rural
20045,269.1,Rural
20047,4.5,Rural
20049,3.9,Rural
20051,31.7,Rural
20053,8.5,Rural
20055,27.9,Rural
20057,30.4,Rural
20059,44.7,Rural
20061,80.8,Rural
20063,2.5,Rural
20065,2.8,Rural
20067,12.4,Rural
20069,6.9,Rural
20071,1.6,Rural
20073,5.2,Rural
20075,2.5,Rural
20077,6.8,Rural
20079,63.9,Rural
20081,6.9,Rural
20083,2.1,Rural
20085,20.1,Rural
20087,35.9,Rural
20089,3.2,Rural
20091,1276.3,Urban
20093,4.4,Rural
20095,8.3,Rural
20097,3.4,Rural
20099,30.3,Rural
20101,2.1,Rural
20103,177.0,Rural
20105,4.1,Rural
20107,16.4,Rural
20109,2.6,Rural
20111,39.2,Rural
20113,31.9,Rural
20115,12.6,Rural
20117,10.8,Rural
20119,4.1,Rural
20121,59.7,Rural
20123,8.5,Rural
20125,49.4,Rural
20127,8.1,Rural
20129,3.5,Rural
20131,14.3,Rural
20133,27.9,Rural
20135,2.6,Rural
20137,6.1,Rural
20139,22.7,Rural
20141,3.8,Rural
20143,7.9,Rural
20145,8.5,Rural
20147,5.9,Rural
20149,29.1,Rural
20151,12.4,Rural
20153,2.4,Rural
20155,49.4,Rural
20157,6.5,Rural
20159,13.2,Rural
20161,120.8,Rural
20163,5.5,Rural
20165,4.3,Rural
20167,7.7,Rural
20169,75.3,Rural
20171,6.7,Rural
20173,517.9,Urban
20175,33.0,Rural
20177,325.3,Rural
20179,2.8,Rural
20181,5.6,Rural
20183,4.0,Rural
20185,5.3,Rural
20187,2.9,Rural
20189,7.5,Rural
20191,19.3,Rural
20193,7.2,Rural
20195,3.2,Rural
20197,8.7,Rural
20199,1.7,Rural
20201,6.0,Rural
20203,2.9,Rural
20205,14.9,Rural
20207,6.3,Rural
20209,1090.4,Urban
21001,47.5,Rural
21003,62.2,Rural
21005,113.1,Rural
21007,32.0,Rural
21009,91.1,Rural
21011,44.9,Rural
21013,72.4,Rural
21015,543.5,Urban
21017,68.4,Rural
21019,291.9,Rural
21021,167.3,Rural
21023,40.4,Rural
21025,25.6,Rural
21027,36.3,Rural
21029,276.2,Rural
21031,30.3,Rural
21033,37.1,Rural
21035,101.8,Rural
21037,618.6,Urban
21039,25.2,Rural
21041,82.8,Rural
21043,65.3,Rural
21045,36.5,Rural
21047,98.2,Rural
21049,144.2,Rural
21051,42.4,Rural
21053,52.0,Rural
21055,24.5,Rural
21057,21.7,Rural
21059,222.2,Rural
21061,40.2,Rural
21063,32.2,Rural
21065,55.9,Rural
21067,1141.9,Urban
21069,41.9,Rural
21071,90.3,Rural
21073,246.2,Rural
21075,29.1,Rural
21077,88.1,Rural
21079,77.1,Rural
21081,97.4,Rural
21083,67.6,Rural
21085,53.4,Rural
21087,38.4,Rural
21089,101.9,Rural
21091,46.5,Rural
21093,178.8,Rural
21095,55.8,Rural
21097,61.8,Rural
21099,46.3,Rural
21101,103.5,Rural
21103,56.6,Rural
21105,18.0,Rural
21107,82.5,Rural
21109,38.7,Rural
21111,2019.3,Urban
21113,316.1,Rural
21115,84.7,Rural
21117,1044.0,Urban
21119,42.1,Rural
21121,80.6,Rural
21123,55.3,Rural
21125,140.5,Rural
21127,36.8,Rural
21129,35.2,Rural
21131,24.6,Rural
21133,63.6,Rural
21135,27.5,Rural
21137,73.6,Rural
21139,29.4,Rural
21141,49.2,Rural
21143,38.3,Rural
21145,263.5,Rural
21147,40.5,Rural
21149,36.5,Rural
21151,213.6,Rural
21153,39.4,Rural
21155,56.4,Rural
21157,103.5,Rural
21159,48.6,Rural
21161,71.2,Rural
21163,94.1,Rural
21165,32.0,Rural
21167,88.7,Rural
21169,34.8,Rural
21171,32.4,Rural
21173,143.3,Rural
21175,35.1,Rural
21177,65.5,Rural
21179,111.1,Rural
21181,37.4,Rural
21183,40.9,Rural
21185,357.0,Rural
21187,31.2,Rural
21189,22.4,Rural
21191,52.6,Rural
21193,75.5,Rural
21195,73.4,Rural
21197,69.4,Rural
21199,99.1,Rural
21201,21.2,Rural
21203,52.7,Rural
21205,87.5,Rural
21207,70.9,Rural
21209,204.0,Rural
21211,130.3,Rural
21213,79.9,Rural
21215,103.9,Rural
21217,97.0,Rural
21219,32.9,Rural
21221,33.3,Rural
21223,56.0,Rural
21225,42.0,Rural
21227,247.1,Rural
21229,41.0,Rural
21231,44.4,Rural
21233,39.0,Rural
21235,83.2,Rural
21237,32.2,Rural
21239,142.4,Rural
22001,94.6,Rural
22003,33.7,Rural
22005,438.3,Rural
22007,64.4,Rural
22009,48.2,Rural
22011,32.5,Rural
22013,16.3,Rural
22015,151.6,Rural
22017,272.7,Rural
22019,191.6,Rural
22021,18.7,Rural
22023,5.4,Rural
22025,13.4,Rural
22027,20.8,Rural
22029,27.5,Rural
22031,31.5,Rural
22033,964.4,Urban
22035,16.3,Rural
22037,42.2,Rural
22039,50.4,Rural
22041,32.0,Rural
22043,34.9,Rural
22045,121.2,Rural
22047,52.6,Rural
22049,27.7,Rural
22051,1462.2,Urban
22053,48.3,Rural
22055,911.1,Urban
22057,91.4,Rural
22059,23.9,Rural
22061,99.0,Rural
22063,218.0,Rural
22065,17.5,Rural
22067,31.2,Rural
22069,30.4,Rural
22071,2303.2,Urban
22073,250.7,Rural
22075,29.7,Rural
22077,39.0,Rural
22079,98.4,Rural
22081,21.7,Rural
22083,35.9,Rural
22085,27.6,Rural
22087,125.5,Rural
22089,190.7,Rural
22091,24.8,Rural
22093,87.1,Rural
22095,200.9,Rural
22097,88.8,Rural
22099,72.4,Rural
22101,88.4,Rural
22103,309.5,Rural
22105,170.9,Rural
22107,7.1,Rural
22109,89.5,Rural
22111,25.3,Rural
22113,50.7,Rural
22115,35.6,Rural
22117,69.1,Rural
22119,64.6,Rural
22121,138.0,Rural
22123,30.1,Rural
22125,38.7,Rural
22127,14.6,Rural
23001,231.7,Rural
23003,10.1,Rural
23005,354.1,Rural
23007,17.9,Rural
23009,34.8,Rural
23011,141.3,Rural
23013,109.3,Rural
23015,76.3,Rural
23017,28.0,Rural
23019,44.9,Rural
23021,4.3,Rural
23023,141.8,Rural
23025,12.9,Rural
23027,54.6,Rural
23029,12.3,Rural
23031,210.6,Rural
24001,166.1,Rural
24003,1400.2,Urban
24005,1384.3,Urban
24009,435.4,Rural
24011,104.9,Rural
24013,377.6,Rural
24015,297.8,Rural
24017,358.3,Rural
24019,59.1,Rural
24021,395.6,Rural
24023,44.9,Rural
24025,586.6,Urban
24027,1305.0,Urban
24029,70.2,Rural
24031,2140.9,Urban
24033,1881.0,Urban
24035,136.1,Rural
24037,318.5,Rural
24039,80.3,Rural
24041,138.7,Rural
24043,331.0,Rural
24045,277.7,Rural
24047,112.3,Rural
24510,7301.7,Urban
25001,542.4,Urban
25003,135.0,Rural
25005,1024.4,Urban
25007,168.2,Rural
25009,1605.0,Urban
25011,100.6,Rural
25013,757.1,Urban
25015,305.4,Rural
25017,1972.6,Urban
25019,254.5,Rural
25021,1788.2,Urban
25023,792.7,Urban
25025,13810.8,Urban
25027,550.9,Urban
26001,15.5,Rural
26003,10.0,Rural
26005,143.6,Rural
26007,49.7,Rural
26009,49.3,Rural
26011,41.1,Rural
26013,9.1,Rural
26015,111.7,Rural
26017,233.5,Rural
26019,55.8,Rural
26021,270.4,Rural
26023,86.1,Rural
26025,190.3,Rural
26027,105.9,Rural
26029,62.9,Rural
26031,35.4,Rural
26033,24.0,Rural
26035,55.1,Rural
26037,141.1,Rural
26039,25.3,Rural
26041,30.6,Rural
26043,33.2,Rural
26045,192.1,Rural
26047,71.8,Rural
26049,637.3,Urban
26051,50.9,Rural
26053,13.0,Rural
26055,201.1,Rural
26057,71.8,Rural
26059,76.3,Rural
