density,total_population,countyfips,cancer,binge,csmoking,lpa,sleep
116.9,72456,15007,5.4,21.1,14.7,25.1,38.1
144.3,167641,15009,5.5,21.4,15.5,24.2,39.5
462.8,487154,16001,6.4,19.7,13.2,21.1,33.4
3.2,4337,16003,6.5,17.4,18.3,24.4,35.2
79.3,88233,16005,6.4,17.2,17.6,26.8,34.2
6.3,6148,16007,6.5,16.5,17.5,25.3,34.7
12.0,9339,16009,6.6,17.3,21.0,26.4,36.2
22.4,46990,16011,6.2,16.4,16.2,26.1,35.4
8.7,23021,16013,6.2,17.1,13.6,23.2,31.3
4.2,7908,16015,6.5,17.5,15.8,21.9,33.5
26.6,46173,16017,6.6,18.8,18.5,24.8,31.4
64.2,119890,16019,6.2,15.1,15.7,24.5,35.2
9.7,12296,16021,6.5,17.1,19.9,26.0,33.8
1.2,2606,16023,6.5,16.2,18.8,27.1,34.8
1.0,1113,16025,6.4,16.7,19.0,27.5,35.7
395.0,232022,16027,6.3,16.5,17.7,29.9,35.1
4.1,7191,16029,6.6,17.7,18.6,25.0,34.1
9.4,24062,16031,6.0,15.2,16.0,30.3,34.6
0.5,839,16033,5.7,14.5,18.5,34.6,35.8
3.6,8781,16035,6.5,18.3,19.5,24.4,36.2
0.9,4360,16037,6.6,16.6,18.4,26.6,33.7
9.0,27562,16039,6.2,16.7,18.4,28.8,36.2
21.0,13961,16041,6.5,16.3,16.3,26.4,36.0
7.0,13090,16043,6.3,16.8,17.3,26.6,35.0
32.6,18279,16045,6.4,17.5,18.2,28.3,35.1
20.9,15206,16047,6.0,16.4,17.4,29.7,33.7
2.0,16739,16049,6.4,19.6,19.5,28.9,34.1
27.5,30082,16051,6.4,16.2,15.2,23.5,33.5
40.9,24424,16053,6.0,15.9,17.7,32.0,33.9
134.6,167496,16055,6.5,17.8,17.4,22.9,34.9
37.4,40220,16057,6.5,18.6,15.1,21.0,32.4
1.8,8086,16059,6.5,18.2,18.4,23.7,36.1
8.0,3845,16061,6.5,17.5,20.5,29.2,36.0
4.4,5343,16063,6.0,15.3,18.3,31.7,35.1
84.6,39703,16065,6.5,12.5,16.3,25.5,34.6
27.9,21102,16067,5.8,14.8,16.9,32.1,35.7
47.8,40563,16069,6.7,16.9,17.5,25.1,33.9
3.8,4572,16071,6.5,16.7,17.4,27.3,33.4
1.5,11868,16073,6.1,15.7,18.7,31.9,35.8
59.3,24110,16075,6.3,17.0,17.5,28.5,33.2
5.5,7700,16077,6.1,15.5,16.9,30.3,34.1
4.9,12957,16079,6.5,16.2,22.6,31.5,36.0
27.2,12218,16081,6.3,18.4,13.3,19.7,31.0
45.4,87142,16083,6.3,15.2,16.6,28.7,34.9
3.1,11527,16085,6.6,18.1,15.0,20.4,32.7
7.1,10252,16087,6.2,16.8,18.3,30.8,35.4
76.6,65494,17001,6.7,21.3,19.2,25.5,33.6
24.2,5704,17003,6.3,19.0,23.5,33.9,40.0
43.3,16461,17005,6.6,21.6,19.5,27.5,35.1
191.0,53626,17007,6.3,20.9,16.8,27.9,33.7
21.6,6594,17009,6.4,22.3,20.8,29.7,37.2
37.6,32633,17011,6.5,21.5,18.3,28.2,33.4
18.6,4727,17013,6.7,22.7,20.5,27.2,34.7
32.2,14311,17015,6.6,22.5,19.1,26.7,34.0
32.1,12062,17017,6.3,19.9,20.1,31.7,35.9
209.9,209084,17019,6.3,19.3,16.0,25.3,34.6
45.5,32292,17021,6.7,22.6,20.8,29.0,36.1
30.7,15410,17023,6.7,22.0,20.2,27.1,34.5
28.2,13201,17025,6.7,21.1,21.9,28.7,35.3
79.3,37592,17027,6.6,23.2,18.7,25.2,34.8
99.7,50655,17029,6.7,20.8,20.6,27.2,34.2
5439.1,5141687,17031,5.7,22.0,14.6,25.7,36.1
42.1,18657,17033,6.7,22.5,20.4,27.6,34.4
31.2,10781,17035,6.7,21.9,21.1,27.7,34.8
166.4,105059,17037,6.4,21.8,17.1,27.2,34.2
39.3,15623,17039,6.7,22.1,19.8,27.6,34.4
46.7,19465,17041,6.6,21.3,20.7,29.8,34.5
2813.7,921485,17043,6.2,18.1,11.2,22.7,30.6
27.5,17161,17045,6.7,22.5,20.0,26.6,34.8
28.7,6390,17047,6.7,22.3,20.2,26.6,34.5
71.1,34043,17049,6.7,23.0,19.0,25.8,34.1
29.8,21360,17051,6.6,21.1,23.1,30.9,35.9
26.7,12962,17053,6.7,22.0,19.9,27.5,35.5
94.1,38474,17055,6.7,21.0,22.6,29.5,36.2
39.6,34314,17057,6.6,21.8,20.4,28.4,36.1
14.9,4819,17059,6.7,20.7,23.7,31.3,36.2
23.9,12965,17061,6.7,22.6,21.8,28.3,35.4
122.5,51218,17063,6.5,22.6,16.9,25.6,33.0
18.7,8122,17065,6.7,22.3,20.3,27.6,33.7
22.3,17709,17067,6.7,22.3,19.7,27.1,35.4
21.6,3836,17069,6.7,21.4,22.9,30.1,36.0
17.5,6643,17071,6.7,23.0,19.4,26.4,34.4
59.5,48932,17073,6.6,22.2,18.4,26.9,34.1
24.3,27127,17075,6.6,20.7,20.4,29.5,35.1
96.9,56609,17077,6.5,20.0,19.9,29.3,37.0
19.5,9619,17079,6.7,21.8,20.7,27.5,35.1
66.0,37706,17081,6.6,21.0,20.9,29.0,35.7
59.1,21812,17083,6.7,22.4,19.2,26.0,34.1
35.3,21246,17085,6.6,22.1,18.2,25.0,33.3
36.4,12518,17087,6.6,22.0,21.1,28.8,35.8
1025.1,533112,17089,5.9,21.3,14.9,27.4,32.1
162.2,109762,17091,6.5,20.8,18.6,28.3,36.6
404.3,129522,17093,6.2,21.2,13.3,23.3,32.8
69.2,49610,17095,6.6,20.8,20.8,28.6,37.2
1568.7,695969,17097,6.0,20.6,12.8,21.8,32.3
95.9,108823,17099,6.4,22.3,19.2,28.6,35.9
42.1,15666,17101,6.5,21.5,21.7,30.3,36.8
47.0,34037,17103,6.5,21.6,19.2,27.4,34.9
34.2,35684,17105,6.6,21.7,20.9,29.8,35.6
46.4,28651,17107,6.6,21.6,19.2,26.8,35.3
50.2,29617,17109,6.7,20.6,19.5,27.8,35.7
511.1,308253,17111,6.3,20.5,15.0,24.6,33.6
144.7,171285,17113,6.5,20.7,15.9,24.3,33.3
179.1,103995,17115,6.5,20.0,20.5,29.2,36.2
52.1,44932,17117,6.7,22.1,20.4,27.0,33.3
367.9,263254,17119,6.6,22.2,18.8,25.9,35.5
65.1,37255,17121,6.7,20.7,21.8,29.3,36.7
29.6,11448,17123,6.6,22.4,19.4,26.2,35.3
24.8,13352,17125,6.7,21.5,21.7,28.9,35.6
58.0,13759,17127,6.7,21.3,21.8,29.8,36.4
38.8,12202,17129,6.7,22.4,18.0,24.5,33.9
27.6,15472,17131,6.6,22.6,19.4,26.4,34.2
90.3,34748,17133,6.7,24.1,15.3,21.2,32.2
40.3,28385,17135,6.6,21.7,21.3,29.2,35.6
59.0,33554,17137,6.6,21.4,20.7,28.2,35.5
43.3,14551,17139,6.7,22.3,20.4,26.9,34.9
66.9,50723,17141,6.5,22.1,18.1,26.2,35.6
